Loading Y_scaler from file Y_scaler.gz
target_element: torch.Size([10000, 3, 101])
target_element_all: torch.Size([9, 101])
Step 0, Loss: 50.13167953491211
Step 10, Loss: 45.569740295410156
Step 20, Loss: 43.868770599365234
Step 30, Loss: 42.78884506225586
Step 40, Loss: 42.00651550292969
Step 50, Loss: 41.39712905883789
Step 60, Loss: 40.90483856201172
Step 70, Loss: 40.48686218261719
Step 80, Loss: 40.11954879760742
Step 90, Loss: 39.80521774291992
Step 100, Loss: 39.52852249145508
Step 110, Loss: 39.276920318603516
Step 120, Loss: 39.05299377441406
Step 130, Loss: 38.849124908447266
Step 140, Loss: 38.66130447387695
Step 150, Loss: 38.49681091308594
Step 160, Loss: 38.33798599243164
Step 170, Loss: 38.19224166870117
Step 180, Loss: 38.05390548706055
Step 190, Loss: 37.92108917236328
Step 200, Loss: 37.79710006713867
Step 210, Loss: 37.68134307861328
Step 220, Loss: 37.568660736083984
Step 230, Loss: 37.46309280395508
Step 240, Loss: 37.36365509033203
Step 250, Loss: 37.26578140258789
Step 260, Loss: 37.16592788696289
Step 270, Loss: 37.0750846862793
Step 280, Loss: 36.9847297668457
Step 290, Loss: 36.90351867675781
Step 300, Loss: 36.821102142333984
Step 310, Loss: 36.7398796081543
Step 320, Loss: 36.659217834472656
Step 330, Loss: 36.579132080078125
Step 340, Loss: 36.505149841308594
Step 350, Loss: 36.43386459350586
Step 360, Loss: 36.364585876464844
Step 370, Loss: 36.29697036743164
Step 380, Loss: 36.231266021728516
Step 390, Loss: 36.170440673828125
Step 400, Loss: 36.11051559448242
Step 410, Loss: 36.05460739135742
Step 420, Loss: 35.99806594848633
Step 430, Loss: 35.94432067871094
Step 440, Loss: 35.888675689697266
Step 450, Loss: 35.829750061035156
Step 460, Loss: 35.773624420166016
Step 470, Loss: 35.72358703613281
Step 480, Loss: 35.67045974731445
Step 490, Loss: 35.61479568481445
Step 500, Loss: 35.56135177612305
Step 510, Loss: 35.51601028442383
Step 520, Loss: 35.469539642333984
Step 530, Loss: 35.4163818359375
Step 540, Loss: 35.36911392211914
Step 550, Loss: 35.32704544067383
Step 560, Loss: 35.28614044189453
Step 570, Loss: 35.241764068603516
Step 580, Loss: 35.193504333496094
Step 590, Loss: 35.14976501464844
Step 600, Loss: 35.112728118896484
Step 610, Loss: 35.07449722290039
Step 620, Loss: 35.031524658203125
Step 630, Loss: 34.98979949951172
Step 640, Loss: 34.94911575317383
Step 650, Loss: 34.907569885253906
Step 660, Loss: 34.870765686035156
Step 670, Loss: 34.83495330810547
Step 680, Loss: 34.798240661621094
Step 690, Loss: 34.76280975341797
Step 700, Loss: 34.72695541381836
Step 710, Loss: 34.69283676147461
Step 720, Loss: 34.65548324584961
Step 730, Loss: 34.61994934082031
Step 740, Loss: 34.58390426635742
Step 750, Loss: 34.549949645996094
Step 760, Loss: 34.516700744628906
Step 770, Loss: 34.48330307006836
Step 780, Loss: 34.44770431518555
Step 790, Loss: 34.41502380371094
Step 800, Loss: 34.381710052490234
Step 810, Loss: 34.354339599609375
