Loading Y_scaler from file Y_scaler.gz
target_element: torch.Size([10000, 3, 101])
target_element_all: torch.Size([9, 101])
Step 1700, Loss: 33.969146728515625
Step 1710, Loss: 33.95107650756836
Step 1720, Loss: 33.93638610839844
Step 1730, Loss: 33.920509338378906
Step 1740, Loss: 33.90449523925781
Step 1750, Loss: 33.88775634765625
Step 1760, Loss: 33.87202835083008
Step 1770, Loss: 33.85625457763672
Step 1780, Loss: 33.841163635253906
Step 1790, Loss: 33.82343292236328
Step 1800, Loss: 33.80733871459961
Step 1810, Loss: 33.7931022644043
Step 1820, Loss: 33.77738571166992
Step 1830, Loss: 33.763187408447266
Step 1840, Loss: 33.74684143066406
Step 1850, Loss: 33.73284149169922
Step 1860, Loss: 33.719642639160156
Step 1870, Loss: 33.70541763305664
Step 1880, Loss: 33.68965148925781
Step 1890, Loss: 33.67562484741211
Step 1900, Loss: 33.660560607910156
Step 1910, Loss: 33.64582824707031
Step 1920, Loss: 33.63105010986328
Step 1930, Loss: 33.61720275878906
Step 1940, Loss: 33.60255432128906
Step 1950, Loss: 33.5866584777832
Step 1960, Loss: 33.57209777832031
Step 1970, Loss: 33.55803680419922
Step 1980, Loss: 33.543460845947266
Step 1990, Loss: 33.52872085571289
Step 2000, Loss: 33.51561737060547
Step 2010, Loss: 33.5009880065918
Step 2020, Loss: 33.49083709716797
Step 2030, Loss: 33.47874069213867
Step 2040, Loss: 33.464508056640625
Step 2050, Loss: 33.450992584228516
Step 2060, Loss: 33.43731689453125
Step 2070, Loss: 33.426395416259766
Step 2080, Loss: 33.412353515625
Step 2090, Loss: 33.4015998840332
Step 2100, Loss: 33.38838577270508
Step 2110, Loss: 33.37506866455078
Step 2120, Loss: 33.36085891723633
Step 2130, Loss: 33.34709548950195
Step 2140, Loss: 33.33488845825195
Step 2150, Loss: 33.324180603027344
Step 2160, Loss: 33.3123893737793
Step 2170, Loss: 33.30168914794922
Step 2180, Loss: 33.289451599121094
Step 2190, Loss: 33.27756118774414
Step 2200, Loss: 33.26384735107422
